rank,stadium,seating_capacity,region,country,city,image,home_team,latitude,longitude
344,Estadio Metropolitano de ftbol de Lara,40312,South America,Venezuela,Barquisimeto,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Estadio_Metropolitano_de_Lara.jpg/150px-Estadio_Metropolitano_de_Lara.jpg,['Unión Lara'],10.0677719,-69.3473509
345,Estadio Malvinas Argentinas,40268,South America,Argentina,Mendoza,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Estadio_Malvinas_Argentinas_2012.jpg/150px-Estadio_Malvinas_Argentinas_2012.jpg,['Godoy Cruz Antonio Tomba'],-32.8896642,-68.8800956
346,Stadion Lukas Enembe,40263,Southeast Asia,Indonesia,Nolokla,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Lukas_Enembe_Stadium.jpg/150px-Lukas_Enembe_Stadium.jpg,['Persipura Jayapura'],-2.5787662,140.5755313
347,Gwangju World Cup Stadium,40245,East Asia,South Korea,Gwangju,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Gwangju_World_Cup_Stadium.jpg/150px-Gwangju_World_Cup_Stadium.jpg,['Gwangju FC'],35.1336571,126.8748604
348,Sn vn ng Quc gia M nh,40192,Southeast Asia,Vietnam,Hanoi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Kh%C3%A1n_%C4%91%C3%A0i_B_-_S%C3%A2n_v%E1%BA%ADn_%C4%91%E1%BB%99ng_Qu%E1%BB%91c_gia_M%E1%BB%B9_%C4%90%C3%ACnh.jpg/150px-Kh%C3%A1n_%C4%91%C3%A0i_B_-_S%C3%A2n_v%E1%BA%ADn_%C4%91%E1%BB%99ng_Qu%E1%BB%91c_gia_M%E1%BB%B9_%C4%90%C3%ACnh.jpg,['Vietnam national football team'],21.0277644,105.8341598
349,Goodison Park,40157,Europe,England,Liverpool North West,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Goodison_Park_August_2022.jpg/150px-Goodison_Park_August_2022.jpg,['Everton FC'],52.3555177,-1.1743197
350,Estdio Governador Joo Castelo,40149,South America,Brazil,So Lus Maranho,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Est%C3%A1dio_Castel%C3%A3o_em_S%C3%A3o_Lu%C3%ADs%2C_Maranh%C3%A3o%2C_Brasil.jpg/150px-Est%C3%A1dio_Castel%C3%A3o_em_S%C3%A3o_Lu%C3%ADs%2C_Maranh%C3%A3o%2C_Brasil.jpg,"['Sampaio Corrêa FC', 'Moto Club SL', 'Maranhão AC']",-2.5487515,-44.2600644
351,Stade MiloudHadefi,40143,Africa,Algeria,Oran,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Stade_de_Oran.jpg/150px-Stade_de_Oran.jpg,"['Algeria national football team', 'MC Oran']",35.7284343,-0.5494177
352,Estadio Campen del Siglo,40005,South America,Uruguay,Montevideo,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Estadio_Campe%C3%B3n_del_Siglo_setiembre_2021.jpg/150px-Estadio_Campe%C3%B3n_del_Siglo_setiembre_2021.jpg,['Club Atlético Peñarol'],-34.7968906,-56.0671246
353,Metalist Stadium,40003,Europe,Ukraine,Kharkiv,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Metalist_Stadium_Kharkiv.jpg/150px-Metalist_Stadium_Kharkiv.jpg,"['FC Metalist Kharkiv', 'FC Shakhtar Donetsk']",49.9810252,36.2608654
354,AlJanoub Stadium,40000,West Asia,Qatar,AlWakrah,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Visita_ao_est%C3%A1dio_de_futebol_Al_Janoub_1.jpg/150px-Visita_ao_est%C3%A1dio_de_futebol_Al_Janoub_1.jpg,[],25.1600082,51.5740966
355,AlThumama Stadium,40000,West Asia,Qatar,AlThumama,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Al_Thumama_Stadium_%282%29.jpg/150px-Al_Thumama_Stadium_%282%29.jpg,[],25.2354318,51.5321536
356,Stade AhmedZabana,40000,Africa,Algeria,Oran,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Stade_Ahmed_Zabana_2.jpg/150px-Stade_Ahmed_Zabana_2.jpg,['MC Oran'],35.6833218,-0.6362669
357,Stadion Batakan,40000,Southeast Asia,Indonesia,Balikpapan East Kalimantan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/2017-11-14_Batakan.jpg/150px-2017-11-14_Batakan.jpg,['Persiba Balikpapan'],-1.2333487,116.9431443
358,Stadion Gelora Joko Samudro,40000,Southeast Asia,Indonesia,Gresik East Java,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Gelora_Joko_Samudro_Stadium_%282016%29.jpg/150px-Gelora_Joko_Samudro_Stadium_%282016%29.jpg,['Gresik United'],-7.1856021,112.6507281
359,Fisht Olympic Stadium,40000,Europe,Russia,Sochi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/2017_Confederation_Cup_-_MEXNZL_-_Fisht.jpg/150px-2017_Confederation_Cup_-_MEXNZL_-_Fisht.jpg,[],43.401052,39.95629
360,Rentschler Field,40000,North America,United States,East Hartford Connecticut,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Rentschler_Field_2017.jpg/150px-Rentschler_Field_2017.jpg,[],41.7589474,-72.6194505
361,Jawaharlal Nehru Stadium,40000,South Asia,India,Kochi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Jawaharlal_Nehru_Stadium_%28Kochi%29_in_2022.jpg/150px-Jawaharlal_Nehru_Stadium_%28Kochi%29_in_2022.jpg,"['Kerala Blasters', 'India national football team']",9.9972907,76.3008729
362,Hang Jebat Stadium,40000,Southeast Asia,Malaysia,Malacca,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Stadium_Hang_Jebat_015342.jpg/150px-Stadium_Hang_Jebat_015342.jpg,['Melaka United'],2.2891667,102.2322222
363,Hong Kong Stadium,40000,East Asia,Hong Kong,So Kon Po,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Hong_Kong_Stadium-1.jpg/150px-Hong_Kong_Stadium-1.jpg,['South China AA'],22.2728794,114.1886088
364,Stadium Negeri Pulau Pinang,40000,Southeast Asia,Malaysia,Batu Kawan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Batu_Kawan_Stadium%2CPenang.jpg/150px-Batu_Kawan_Stadium%2CPenang.jpg,['Penang FA'],5.2610547,100.437581
365,Accra Sports Stadium,40000,Africa,Ghana,Accra,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"['Accra Hearts of Oak SC', 'Great Olympics']",5.5514701,-0.1919171
366,Sarawak Stadium,40000,Southeast Asia,Malaysia,Kuching,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Stadium_Sarawak.JPG/150px-Stadium_Sarawak.JPG,['Sarawak FA'],1.588484,110.3602158
367,Bogyoke Aung San Stadium,40000,Southeast Asia,Myanmar,Yangon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Aungsan_Stadium.jpg/150px-Aungsan_Stadium.jpg,['Yangon United FC'],16.7838551,96.160731
368,Resonac Dome ita,40000,East Asia,Japan,ita,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/%C5%8Cita_Stadium_2023-03.jpg/150px-%C5%8Cita_Stadium_2023-03.jpg,['Ōita Trinita'],36.204824,138.252924
369,Stadium Darul Makmur,40000,Southeast Asia,Malaysia,Kuantan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Stadium_Pahang.jpg/150px-Stadium_Pahang.jpg,['Pahang FA'],3.8144618,103.3233562
370,Khalifa International Stadium,40000,West Asia,Qatar,Doha,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Khalifa_International_Stadium.jpg/150px-Khalifa_International_Stadium.jpg,['Qatar national football team'],25.2636219,51.4481083
371,Stade de lAmiti sinogabonaise,40000,Africa,Gabon,Libreville,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,['Gabon national football team'],0.5221464,9.393267
372,Peoples Football Stadium,40000,South Asia,Pakistan,Karachi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,['Pakistan national football team'],24.8585485,66.9883157
373,JRD Tata Sports Complex Stadium,40000,South Asia,India,Jamshedpur,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/J.R.D._Tata_Stadium.jpg/150px-J.R.D._Tata_Stadium.jpg,"['Jamshedpur FC', 'Tata Football Academy']",22.806101,86.1930647
374,Baoan Stadium,40000,East Asia,China,Shenzhen Guangdong,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Bao%27an_Stadium.jpg/150px-Bao%27an_Stadium.jpg,[],22.5576931,113.8783457
375,Kunming Tuodong Sports Centre Stadium,40000,East Asia,China,Kunming Yunnan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Kunming_07.JPG/150px-Kunming_07.JPG,['China national football team'],25.035206,102.730228
376,Taizhou Sports Centre Stadium,40000,East Asia,China,Taizhou Zhejiang,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,[],28.646551,121.399897
377,Wuhu Olympic Stadium,40000,East Asia,China,Wuhu Anhui,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,[],31.3524599,118.43313
378,Huizhou Olympic Stadium,40000,East Asia,China,Huizhou Guangdong,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,[],23.034903,114.446793
