rank,stadium,seating_capacity,region,country,city,image,home_team,latitude,longitude
119,Estdio Jos do Rego Maciel,60044,South America,Brazil,Recife Pernambuco,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Arruda_em_novembro_de_2013.JPG/150px-Arruda_em_novembro_de_2013.JPG,['Santa Cruz FC'],-8.0266992,-34.8911112
120,AlBayt Stadium,60000,West Asia,Qatar,AlKhor,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Al_Bayt_Stadium_architecture.jpg/150px-Al_Bayt_Stadium_architecture.jpg,[],25.6523201,51.4878305
121,Benjamin Mkapa National Stadium,60000,Africa,Tanzania,Dar esSalaam,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Tanzania_National_Main_Stadium_Aerial.jpg/150px-Tanzania_National_Main_Stadium_Aerial.jpg,"['Tanzania national football team', 'Young Africans']",-6.8535593,39.2738143
122,Hefei Olympic Sports Centre Stadium,60000,East Asia,China,Hefei Anhui,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Hefei_Olympic_Sports_Center_Stadium.jpg/150px-Hefei_Olympic_Sports_Center_Stadium.jpg,['Anhui Jiufang'],31.798386,117.223196
123,Jaber alAhmad International Stadium,60000,West Asia,Kuwait,Kuwait City,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Jaber_Al-Ahmad_International_Stadium_2019_local.png/150px-Jaber_Al-Ahmad_International_Stadium_2019_local.png,['Kuwait national football team'],29.2713728,47.9187014
124,Hammadi Agrebi Stadium,60000,Africa,Tunisia,Tunis,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Mozambique-Tunisia_match_2009.jpg/150px-Mozambique-Tunisia_match_2009.jpg,['Tunisia national football team'],36.747785,10.2728649
125,Jawaharlal Nehru Stadium,60000,South Asia,India,New Delhi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Jawaharlal_Nehru_Stadium%2C_New_Delhi.png/150px-Jawaharlal_Nehru_Stadium%2C_New_Delhi.png,[],28.5833047,77.2333304
126,Mogadishu Stadium,60000,Africa,Somalia,Mogadishu,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Mogadishustadium.jpg/150px-Mogadishustadium.jpg,['Somalia national football team'],2.067213,45.3351618
127,National Heroes Stadium,60000,Africa,Zambia,Lusaka,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Inauguration_of_Edgar_Lungu.jpg/150px-Inauguration_of_Edgar_Lungu.jpg,['Zambian national football team'],-15.3694878,28.2726254
128,Odi Stadium,60000,Africa,South Africa,Mabopane Gauteng,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,[],-25.5216085,28.0406754
129,Morodok Techo National Stadium,60000,Southeast Asia,Cambodia,Phnom Penh,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Morodok_Techo_National_Stadium.jpg/150px-Morodok_Techo_National_Stadium.jpg,['Cambodia national football team'],11.6828165,104.876189
130,Shenyang Olympic Sports Centre Stadium,60000,East Asia,China,Shenyang Liaoning,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Shenyang_Olympic_Sports_Center_Stadium_drone_view_1.jpg/150px-Shenyang_Olympic_Sports_Center_Stadium_drone_view_1.jpg,[],41.74134,123.463598
131,Optus Stadium,60000,Oceania,Australia,Perth Western Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Perth_Stadium_opening_210118_gnangarra-10.jpg/150px-Perth_Stadium_opening_210118_gnangarra-10.jpg,"['Perth Glory FC', 'Fremantle Dockers', 'West Coast Eagles']",-31.9511643,115.8890459
132,Estadio Monumental Isidro Romero Carbo,59283,South America,Ecuador,Guayaquil,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Estadio_Monumental_de_Barcelona.jpg/150px-Estadio_Monumental_de_Barcelona.jpg,['Barcelona Sporting Club'],-2.1858844,-79.925253
133,Groupama Stadium,59186,Europe,France,DcinesCharpieu,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Stade_Lumi%C3%A8re.jpg/150px-Stade_Lumi%C3%A8re.jpg,['Olympique Lyonnais'],45.765295,4.982029
134,Chongqing Olympic Sports Centre Stadium,58680,East Asia,China,Chongqing,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Chongqing_Olympic_Stadium.jpg/150px-Chongqing_Olympic_Stadium.jpg,[],29.527919,106.504191
135,Stadion Narodowy,58580,Europe,Poland,Warsaw,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/National_Stadium_panorama.jpg/150px-National_Stadium_panorama.jpg,['Poland national football team'],52.2392555,21.0453352
136,Stadio San Nicola,58270,Europe,Italy,Bari Apulia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Nuoviseggiolinisannicola.jpg/150px-Nuoviseggiolinisannicola.jpg,['SSC Bari'],41.0847298,16.8401352
137,Commanders Field,58000,North America,United States,Landover Maryland,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/FedexField2014.jpg/150px-FedexField2014.jpg,['Washington Commanders'],38.9081324,-76.8639884
138,Deutsche Bank Park,58000,Europe,Germany,Frankfurt,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Commerzbank-Arena_%28Haupttrib%C3%BCne%29.JPG/150px-Commerzbank-Arena_%28Haupttrib%C3%BCne%29.JPG,['Eintracht Frankfurt'],50.0685807,8.645472
139,Estadio La Cartuja de Sevilla,57619,Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Panoramio_-_V%26A_Dudush_-_Estadio_Ol%C3%ADmpico_57_619.jpg/150px-Panoramio_-_V%26A_Dudush_-_Estadio_Ol%C3%ADmpico_57_619.jpg,[],37.4172008,-6.0041295
140,CarterFinley Stadium,57583,North America,United States,Raleigh North Carolina,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Carter_Finley_Stadium_at_Sunset.jpg/150px-Carter_Finley_Stadium_at_Sunset.jpg,['NC State Wolfpack football'],35.8008001,-78.7195655
141,Estadio Alberto J Armando,57200,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/La_Bombonera.jpg/150px-La_Bombonera.jpg,['CA Boca Juniors'],-34.6356109,-58.3647563
142,Volksparkstadion,57030,Europe,Germany,Hamburg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Volksparkstadion_Panorama.jpg/150px-Volksparkstadion_Panorama.jpg,['Hamburger SV'],53.5871607,9.8986354
143,Estadio Mario Alberto Kempes,57000,South America,Argentina,Crdoba,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Estadio_Kempes_luego_de_finalizar_un_partido.jpg/150px-Estadio_Kempes_luego_de_finalizar_un_partido.jpg,"['Talleres de Córdoba', 'Belgrano de Córdoba .']",-31.3689296,-64.2461532
144,Jinan Olympic Sports Centre Stadium,56808,East Asia,China,Jinan Shandong,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/JinanOlympic.JPG/150px-JinanOlympic.JPG,['Shandong Taishan'],36.659045,117.1153
145,Estadio Jalisco,56713,North America,Mexico,Guadalajara Jalisco,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Estadio_Jalisco_06022022.jpg/150px-Estadio_Jalisco_06022022.jpg,['Atlas'],20.7049947,-103.3281769
146,Commonwealth Stadium,56302,North America,Canada,Edmonton Alberta,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Commonwealth_Stadium.jpg/150px-Commonwealth_Stadium.jpg,"['Edmonton Elks', ""Canadian men's"", ""women's national teams""]",53.5597052,-113.4768787
147,Dodger Stadium,56000,North America,United States,Los Angeles,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Dodger_Stadium_field_from_upper_deck_2015-10-04.jpg/150px-Dodger_Stadium_field_from_upper_deck_2015-10-04.jpg,['Los Angeles Dodgers'],34.073851,-118.2399583
148,Stade du 19mai1956,56000,Africa,Algeria,Annaba,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Annaba_Stadium.jpg/150px-Annaba_Stadium.jpg,['USM Annaba'],36.8858753,7.733116
149,Estadi Olmpic Llus Companys,55926,Europe,Spain,Barcelona Catalonia,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Estadi_Ol%C3%ADmpic_Llu%C3%ADs_Companys_-_Barcelona%2C_Spain_-_Jan_2007.jpg/150px-Estadi_Ol%C3%ADmpic_Llu%C3%ADs_Companys_-_Barcelona%2C_Spain_-_Jan_2007.jpg,[],41.3647848,2.1557648
150,Arena do Grmio,55662,South America,Brazil,Porto Alegre Rio Grande do Sul,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Arena_do_Gr%C3%AAmio.jpg/150px-Arena_do_Gr%C3%AAmio.jpg,['Grêmio FBPA'],-29.9739781,-51.1948118
151,Arena Naional,55634,Europe,Romania,Bucharest,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Stadionul_National_-_National_Arena_3.jpg/150px-Stadionul_National_-_National_Arena_3.jpg,['Romania national football team'],44.4372839,26.15254
152,Stadion Rajko Miti,55538,Europe,Serbia,Belgrade,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Zvezda_stadion.jpg/150px-Zvezda_stadion.jpg,"['Red Star Belgrade', 'Serbia national football team']",44.7831187,20.4648201
153,Stadion lski,55211,Europe,Poland,Chorzw,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Widok_bramka.jpg/150px-Widok_bramka.jpg,"['Poland national football team', 'Ruch Chorzów']",50.2974884,18.9545728
154,Etihad Stadium,55097,Europe,England,Manchester North West England,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Etihad_Stadium.jpg/150px-Etihad_Stadium.jpg,['Manchester City'],53.4831634,-2.2003736
155,Mestalla,55000,Europe,Spain,Valencia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/CAMP_DE_MESTALLA_GRADA_DE_LA_MAR_2014_%282%29.JPG/150px-CAMP_DE_MESTALLA_GRADA_DE_LA_MAR_2014_%282%29.JPG,['Valencia CF'],39.4716549,-0.3595372
156,National Stadium,55000,Southeast Asia,Singapore,Singapore,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/SingaporeNationalStadiumJapanBrazilFootball.jpg/150px-SingaporeNationalStadiumJapanBrazilFootball.jpg,['Singapore national football team'],1.304013,103.8748426
157,National Stadium,55000,East Asia,Taiwan,Kaohsiung,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/The_Main_Stadium_for_2009_World_Games_panorama.jpg/150px-The_Main_Stadium_for_2009_World_Games_panorama.jpg,['Chinese Taipei national football team'],22.7031213,120.2944653
158,He Long Stadium,55000,East Asia,China,Changsha Hunan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Helong_Stadium.jpg/150px-Helong_Stadium.jpg,[],28.178924,112.982043
159,Cape Town Stadium,55000,Africa,South Africa,Cape Town Western Cape,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Cape_Town_Stadium_Inside.jpg/150px-Cape_Town_Stadium_Inside.jpg,"['Cape Town City FC', 'DHL Western Cape Stormers']",-33.9036497,18.4110775
160,Plovdiv Stadium,55000,Europe,Bulgaria,Plovdiv,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Plovdiv_Stadium.JPG/150px-Plovdiv_Stadium.JPG,[],42.1497263,24.7197798
161,Bobby Dodd Stadium,55000,North America,United States,Atlanta,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/BDS2013.jpg/150px-BDS2013.jpg,['Georgia Tech Yellow Jackets football'],33.7725939,-84.3932535
162,Johan Cruijff Arena,54990,Europe,Netherlands,Amsterdam,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Ajax_0_Chelsea_1_%2823Oct19%29.jpg/150px-Ajax_0_Chelsea_1_%2823Oct19%29.jpg,['AFC Ajax'],52.3143557,4.9418487
163,Tianhe Stadium,54856,East Asia,China,Guangzhou Guangdong,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Tianhe_Stadium.jpg/150px-Tianhe_Stadium.jpg,[],23.1380215,113.3246753
164,Stadio Diego Armando Maradona,54726,Europe,Italy,Naples,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Braciere_olimpico_XXX_Universiade_Napoli_2019.jpg/150px-Braciere_olimpico_XXX_Universiade_Napoli_2019.jpg,['SSC Napoli'],40.8279365,14.1930611
165,Tianjin Olympic Sports Centre Stadium,54696,East Asia,China,Tianjin,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Tianjin_Olympic_Center_Stadium.jpg/150px-Tianjin_Olympic_Center_Stadium.jpg,['Tianjin Teda'],39.074351,117.175807
166,MERKUR SPIELARENA,54600,Europe,Germany,Dsseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/LTU_arena_panorama.jpg/150px-LTU_arena_panorama.jpg,['Fortuna Düsseldorf'],51.2617881,6.7335671
167,Boris Paitchadze Dinamo Arena,54549,West Asia,Georgia,Tbilisi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Boris_Paichadze_Dinamo_Arena%2C_Samtredia_-_Qaraba%C4%9F.jpg/150px-Boris_Paichadze_Dinamo_Arena%2C_Samtredia_-_Qaraba%C4%9F.jpg,"['Georgia national football team', 'FC Dinamo Tbilisi']",41.7230129,44.7897691
168,Wuhan Sports Centre Stadium,54357,East Asia,China,Wuhan Hubei,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Wuhan_Sport_Centre_01.jpg/150px-Wuhan_Sport_Centre_01.jpg,[],30.50047,114.17194
169,BC Place Stadium,54320,North America,Canada,Vancouver British Columbia,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/BC_Place_2015_Women%27s_FIFA_World_Cup.jpg/150px-BC_Place_2015_Women%27s_FIFA_World_Cup.jpg,"['Vancouver Whitecaps FC', 'BC Lions']",49.27675,-123.111999
170,Yankee Stadium,54251,North America,United States,New York City,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/YankeeStadium-9-21-22-1.jpg/150px-YankeeStadium-9-21-22-1.jpg,"['New York Yankees', 'New York City FC']",40.8296426,-73.9261745
171,Hrazdan Stadium,54208,West Asia,Armenia,Yerevan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/HrazdanArmeniaTurkey.JPG/150px-HrazdanArmeniaTurkey.JPG,"['FC Ararat Yerevan', 'Ulisses FC']",40.1804361,44.494873
172,BORUSSIAPARK,54057,Europe,Germany,Mnchengladbach,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Borussia-Park_DEU-FRA_2011.jpg/150px-Borussia-Park_DEU-FRA_2011.jpg,['Borussia Mönchengladbach'],51.1745698,6.3855055
173,Moses Mabhida Stadium,54000,Africa,South Africa,Durban KwaZuluNatal,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/FIFA_World_Cup_2010_Netherlands_Japan.jpg/150px-FIFA_World_Cup_2010_Netherlands_Japan.jpg,"['AmaZulu FC', 'Cell C Durban Sharks']",-29.8290641,31.0304231
174,Busan Asiad Main Stadium,53864,East Asia,South Korea,Busan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/BusanAsiadStadium.jpg/150px-BusanAsiadStadium.jpg,['Busan IPark'],35.1899786,129.0582686
175,Estdio Estadual Jornalista Edgar Augusto Proena,53645,South America,Brazil,Belm Par,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Mangueir%C3%A3o_em_2023.jpg/150px-Mangueir%C3%A3o_em_2023.jpg,"['Paysandu SC', 'Clube do Remo', 'Tuna Luso Brasileira', 'SC Belem']",-1.3811559,-48.443943
176,Estadio nico Diego Armando Maradona,53600,South America,Argentina,La Plata,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/EstadioUnicoLaPlata_Interior_June2014.jpg/150px-EstadioUnicoLaPlata_Interior_June2014.jpg,[],-34.9137939,-57.9891083
177,Adelaide Oval,53500,Oceania,Australia,Adelaide South Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/After_Game_Kick_and_Catch_%2813750115664%29.jpg/150px-After_Game_Kick_and_Catch_%2813750115664%29.jpg,"['Adelaide Crows', 'Port Adelaide Powers']",-34.9155163,138.5961146
178,Docklands Stadium,53359,Oceania,Australia,Melbourne Victoria,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Melbourne_Derby_December_2014.jpg/150px-Melbourne_Derby_December_2014.jpg,"['Western Bulldogs', 'Essendon', 'St. Kilda', 'Carlton', 'North Melbourne']",-37.8165647,144.9475055
179,Estdio Municipal Joo Havelange,53350,South America,Brazil,Uberlndia Minas Gerais,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Est%C3%A1dio_Parque_do_Sabi%C3%A1.jpg/150px-Est%C3%A1dio_Parque_do_Sabi%C3%A1.jpg,['Uberlânia EC'],-18.9130624,-48.2330308
180,San Mams,53332,Europe,Spain,Bilbao,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/San_Mames%2C_Bilbao%2C_Euskal_Herria_-_Basque_Country.jpg/150px-San_Mames%2C_Bilbao%2C_Euskal_Herria_-_Basque_Country.jpg,['Athletic Bilbao'],43.264376,-2.9480938
181,Aleppo International Stadium,53200,West Asia,Syria,Aleppo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Aleppo_International_Stadium%2C_day_view%2C_2009_%281%29.jpg/150px-Aleppo_International_Stadium%2C_day_view%2C_2009_%281%29.jpg,['Al-Ittihad'],36.1847796,37.1176851
182,Estadio Nacional,53086,South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Estadio_Nacional_nuevo_07_10_2011.jpg/150px-Estadio_Nacional_nuevo_07_10_2011.jpg,['Peru national football team'],-12.0672896,-77.0337292
183,Huanglong Stadium,52672,East Asia,China,Hangzhou Zhejiang,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Hangzhou-yellow-dragon-stad.jpg/150px-Hangzhou-yellow-dragon-stad.jpg,['Hangzhou FC'],30.266082,120.133683
184,RAMS Park,52652,Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Galatasaray_Arena_North-West_Corner.jpg/150px-Galatasaray_Arena_North-West_Corner.jpg,['Galatasaray'],41.103203,28.991243
185,Suncorp Stadium,52500,Oceania,Australia,Brisbane Queensland,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Suncorpstadium071006a.JPG/150px-Suncorpstadium071006a.JPG,"['Brisbane Broncos', 'Queensland Maroons', 'Brisbane Roar FC', 'Queensland Reds']",-27.464845,153.0095312
186,St James Park,52405,Europe,England,Newcastle upon Tyne North East,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/StJamesParkPanorama.jpg/150px-StJamesParkPanorama.jpg,['Newcastle United'],54.9755502,-1.6216284
187,Kings Park Stadium,52000,Africa,South Africa,Durban KwaZuluNatal,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kings_Park_panorama.jpg/150px-Kings_Park_panorama.jpg,"['Lamontville Golden Arrows', 'Cell C Durban Sharks']",-29.824851,31.0296335
188,Newlands Stadium,51900,Africa,South Africa,Cape Town Western Cape,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Proudly_South_African.jpg/150px-Proudly_South_African.jpg,[],-33.9704881,18.4685329
189,Hampden Park,51866,Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Hampden_Park%2C_January_2023.jpg/150px-Hampden_Park%2C_January_2023.jpg,"['Scotland national football team', ""Queen's Park""]",55.8258685,-4.2519725
190,Estadio Monumental de Maturn,51796,South America,Venezuela,Maturn,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Monumental_de_maturin_3.jpg/150px-Monumental_de_maturin_3.jpg,['Monagas Sport Club'],9.7096582,-63.268226
191,Loftus Versfeld Stadium,51762,Africa,South Africa,Pretoria Gauteng,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Loftus_Versfeld_Game_Night.JPG/150px-Loftus_Versfeld_Game_Night.JPG,"['SuperSport United', 'Vodacom Pretoria Bulls']",-25.7533214,28.2229295
192,Aviva Stadium,51700,Europe,Ireland,Dublin,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Aviva_Stadium_Panoramic.jpg/150px-Aviva_Stadium_Panoramic.jpg,"['Leinster Rugby', 'Republic of Ireland national football team', 'Ireland national rugby union team']",53.3353301,-6.2283639
193,Guiyang Olympic Sports Centre Stadium,51638,East Asia,China,Guiyang Guizhou,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Guiyang_Olympic_Sports_Center.jpg/150px-Guiyang_Olympic_Sports_Center.jpg,[],26.619913,106.607619
194,Hohhot City Stadium,51632,East Asia,China,Hohhot Inner Mongolia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Hohhot_City_Stadium.jpg/150px-Hohhot_City_Stadium.jpg,[],40.852328,111.655899
195,Rajamangala National Stadium,51552,Southeast Asia,Thailand,Bangkok,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Rajamangala_Stadium_Panorama.jpg/150px-Rajamangala_Stadium_Panorama.jpg,['Thailand national football team'],13.7555703,100.6212389
196,Donbass Arena,51504,Europe,Ukraine,Donetsk,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Donbass_Arena.jpg/150px-Donbass_Arena.jpg,[],48.020661,37.8092521
197,Estadio Presidente Juan Domingo Pern,51389,South America,Argentina,Avellaneda,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Panoramica_Cilindro.jpg/150px-Panoramica_Cilindro.jpg,['Racing Club de Avellaneda'],-34.6666461,-58.368945
198,zmir Atatrk Stadyumu,51295,West Asia,Turkey,zmir,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/%C4%B0zmir_Atat%C3%BCrk_Stadyumu.jpg/150px-%C4%B0zmir_Atat%C3%BCrk_Stadyumu.jpg,"['Altay SK', 'Göztepe AŞ']",38.4349544,27.1779803
199,Stadion Feijenoord,51117,Europe,Netherlands,Rotterdam,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Rotterdam_De_Kuip_1.jpg/150px-Rotterdam_De_Kuip_1.jpg,['Feyenoord'],51.8938655,4.5231901
200,Estadio BBVA,51000,North America,Mexico,Monterrey,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Estadio_BBVA.jpg/150px-Estadio_BBVA.jpg,['CF Monterrey'],25.6691181,-100.2445002
201,Ghadir Stadium,51000,West Asia,Iran,Ahvaz,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Al-Ghadeer_Stadium.jpg/150px-Al-Ghadeer_Stadium.jpg,['Foolad FC'],31.3841206,48.6360158
202,Estdio Jos Pinheiro Borda,50942,South America,Brazil,Porto Alegre Rio Grande do Sul,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Beira-Rio-Stadium-Porto-Alegre-Brazil.jpg/150px-Beira-Rio-Stadium-Porto-Alegre-Brazil.jpg,['SC Internacional'],-30.0654496,-51.23586
203,Ibrox Stadium,50817,Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Rangers-SM_%281%29.jpg/150px-Rangers-SM_%281%29.jpg,['Rangers FC'],55.853172,-4.3092686
204,Shizuoka Stadium,50889,East Asia,Japan,Fukuroi Shizuoka,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Ecopa030304.jpg/150px-Ecopa030304.jpg,"['Júbilo Iwata', 'Shimizu S-Pulse', 'Shizuoka Blue Revs']",34.7434502,137.9707642
205,ErnstHappelStadion,50865,Europe,Austria,Vienna,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg/150px-EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg,['Austria national football team'],48.2072078,16.4209847
206,Huntington Bank Stadium,50805,North America,United States,Minneapolis,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/MNUFCTCF.jpeg/150px-MNUFCTCF.jpeg,['Minnesota Golden Gophers football'],44.976525,-93.2245462
207,Estadio Cuauhtmoc,50754,North America,Mexico,Puebla,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Rampa_norte.jpg/150px-Rampa_norte.jpg,['Puebla FC'],19.0778495,-98.1644104
208,Friends Arena,50653,Europe,Sweden,Solna,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/FriendsArena_SwedenSpain.jpg/150px-FriendsArena_SwedenSpain.jpg,"['Sweden national football team', 'AIK Fotboll']",59.3726649,18.0005045
209,lker Stadyumu,50509,West Asia,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Sukrusaracoglu.jpg/150px-Sukrusaracoglu.jpg,['Fenerbahçe'],40.9876722,29.0368903
210,Stanford Stadium,50424,North America,United States,Palo Alto California,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/2008-1115-006-USC-Stanford-PAN.jpg/150px-2008-1115-006-USC-Stanford-PAN.jpg,[],37.4345298,-122.1611227
211,Stade PierreMauroy,50186,Europe,France,VilleneuvedAscq,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Mauroy_Stadium_Eurobasket_2015.JPG/150px-Mauroy_Stadium_Eurobasket_2015.JPG,['Lille OSC'],50.6119172,3.1304739
212,Stade Roi Baudouin,50122,Europe,Belgium,Brussels,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Stade_Roi_Baudouin.JPG/150px-Stade_Roi_Baudouin.JPG,['Belgium national football team'],50.8957028,4.3340679
213,Shaanxi Province Stadium,50100,East Asia,China,Xian Shaanxi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,[],34.232261,108.940771
214,Ajinomoto Stadium,50100,East Asia,Japan,Chofu Tokyo,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ajinomoto_Stadium_2018-13.jpg/150px-Ajinomoto_Stadium_2018-13.jpg,"['FC Tokyo', 'Tokyo Verdy', 'Tokyo Sungoliath', 'Toshiba Brave Lupus Tokyo']",35.664058,139.5271742
215,Estdio Jos Alvalade,50095,Europe,Portugal,Lisbon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Alvalade0023.jpg/150px-Alvalade0023.jpg,['Sporting CP'],38.7612216,-9.16179
216,Estdio do Drago,50033,Europe,Portugal,Porto,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg/150px-Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg,['FC Porto'],41.16177,-8.583591
217,Casa de Apostas Arena Fonte Nova,50025,South America,Brazil,Salvador Bahia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Arena_Fonte_Nova_External_View.jpg/150px-Arena_Fonte_Nova_External_View.jpg,['EC Bahia'],-12.97883,-38.5043711
218,Stade Olympique de Sousse,50000,Africa,Tunisia,Sousse,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Stade_olympique_de_Sousse.jpg/150px-Stade_olympique_de_Sousse.jpg,['Étoile du Sahel'],35.8234869,10.612848
219,RheinEnergieSTADION,50000,Europe,Germany,Cologne,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/FIFA_WM06_Stadion_Koeln.jpg/150px-FIFA_WM06_Stadion_Koeln.jpg,['1. FC Köln'],50.9334609,6.8751545
220,Harbin Sports City Centre Stadium,50000,East Asia,China,Harbin Heilongjiang,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,[],45.7567307,126.6424173
